ll,name,distance
"43.651111111111106,-79.4213888888889",Alexander Muir Elementary School,762.0
"43.651111111111106,-79.4213888888889",Urban Reading Rooms - Visiting Toronto,914.0
"43.651111111111106,-79.4213888888889",Shiatsu School of Canada,940.0
"43.651111111111106,-79.4213888888889",Key 2 Careers College,488.0
"43.651111111111106,-79.4213888888889",Niagara University,578.0
"43.656296,-79.414663",Shiatsu School of Canada,263.0
"43.656296,-79.414663",District 3 Viet Coffee,293.0
"43.656296,-79.414663",Corvetti Education Centre,418.0
"43.656296,-79.414663",King Edward Junior and Senior Public School,610.0
"43.656296,-79.414663",ThingTank,732.0
"43.656296,-79.414663",Ossington-Old Orchard Jr PS,747.0
"43.656296,-79.414663",Herzing College,812.0
"43.656296,-79.414663",The Randolph Academy,840.0
"43.656296,-79.414663",Studiotek Internatioanl Lanuage College,847.0
"43.656296,-79.414663",Alexandra Park Neighbourhood Learning Centre,920.0
"43.656296,-79.414663",Oca,959.0
"43.656296,-79.414663",College Medical,430.0
"43.656296,-79.414663",Grad Room,828.0
"43.656296,-79.414663",Randolph Academy For the Performing Arts,861.0
"43.656296,-79.414663",Key 2 Careers College,942.0
"43.656296,-79.414663",SNDWRx - Audio by Design,954.0
"43.651281,-79.411717",ThingTank,457.0
"43.651281,-79.411717",Shiatsu School of Canada,485.0
"43.651281,-79.411717",District 3 Viet Coffee,526.0
"43.651281,-79.411717",Alexandra Park Neighbourhood Learning Centre,565.0
"43.651281,-79.411717",Carr Street Station,611.0
"43.651281,-79.411717",Urban Reading Rooms - Visiting Toronto,629.0
"43.651281,-79.411717",Herzing College,635.0
"43.651281,-79.411717",Oca,774.0
"43.651281,-79.411717",Corvetti Education Centre,778.0
"43.651281,-79.411717",King Edward Junior and Senior Public School,827.0
"43.651281,-79.411717",Ossington-Old Orchard Jr PS,841.0
"43.651281,-79.411717",Toronto First Aid,847.0
"43.651281,-79.411717",201 Niagara Falls,915.0
"43.651281,-79.411717",College Medical,594.0
"43.651281,-79.411717",SNDWRx - Audio by Design,859.0
"43.651281,-79.411717",Niagara University,992.0
"43.65277778,-79.42972222",Ossington-Old Orchard Jr PS,615.0
"43.65277778,-79.42972222",Alexander Muir Elementary School,644.0
"43.65277778,-79.42972222",Oca,841.0
"43.65277778,-79.42972222",Corvetti Education Centre,854.0
"43.65277778,-79.42972222",Toronto School of Art,893.0
"43.65277778,-79.42972222",Herzing College,895.0
"43.65277778,-79.42972222",Cadence House,1010.0
"43.65277778,-79.42972222",Key 2 Careers College,332.0
"43.655,-79.418889",Corvetti Education Centre,69.0
"43.655,-79.418889",Ossington-Old Orchard Jr PS,399.0
"43.655,-79.418889",Herzing College,576.0
"43.655,-79.418889",Shiatsu School of Canada,597.0
"43.655,-79.418889",District 3 Viet Coffee,640.0
"43.655,-79.418889",Oca,697.0
"43.655,-79.418889",Cadence House,871.0
"43.655,-79.418889",King Edward Junior and Senior Public School,978.0
"43.655,-79.418889",ThingTank,1005.0
"43.655,-79.418889",Key 2 Careers College,578.0
"43.655,-79.418889",College Medical,784.0
"43.668553,-79.338673",Leslieville Jr PS,582.0
"43.668553,-79.338673",kappa Kappa Kappa,738.0
"43.663912,-79.327987",Leslieville Jr PS,442.0
"43.6462176,-79.3855048",Toronto Image Works,818.0
"43.6462176,-79.3855048",Csi Exam Centre,35.0
"43.6462176,-79.3855048",Smarten Up Institute,63.0
"43.6462176,-79.3855048",Chestnut Residence,882.0
"43.6462176,-79.3855048",Canadian Securities Institute,112.0
"43.6462176,-79.3855048",University Quad,114.0
"43.6462176,-79.3855048",Institute of Corporate Directors,146.0
"43.6462176,-79.3855048",CSI Global Education Inc,161.0
"43.6462176,-79.3855048",Wilfrid Laurier University - MBA School,299.0
"43.6462176,-79.3855048",Rider Training Institute,409.0
"43.6462176,-79.3855048",OCAD Graduate Studies,424.0
"43.6462176,-79.3855048",Toronto Chinese Academy,438.0
"43.6462176,-79.3855048",Social Body Lab,445.0
"43.6462176,-79.3855048",DFI headquarters - OCAD,446.0
"43.6462176,-79.3855048",OCAD Richmond Campus,450.0
"43.6462176,-79.3855048",OCAD U Graduate Gallery,465.0
"43.6462176,-79.3855048",Northeastern University Toronto,465.0
"43.6462176,-79.3855048",OCAD at 230 Richmond,510.0
"43.6462176,-79.3855048",Eurocentres Toronto,588.0
"43.6462176,-79.3855048",Recording Arts Canada,588.0
"43.6462176,-79.3855048",George Brown College I.E.C.I,600.0
"43.6462176,-79.3855048",Ontario Research and Innovation Optical,607.0
"43.6462176,-79.3855048",Ontario College of Family Physicians,669.0
"43.6462176,-79.3855048",Evergreen College,697.0
"43.6462176,-79.3855048",Academy of Learning Career College Toronto,736.0
"43.6462176,-79.3855048",Vcetests,742.0
"43.6462176,-79.3855048",Centre For Indigenous Theatre,772.0
"43.6462176,-79.3855048",Gallery 44 Darkroom,783.0
"43.6462176,-79.3855048",OCAD Student Centre,787.0
"43.6462176,-79.3855048",Manhattan GMAT,821.0
"43.6462176,-79.3855048",OUSA | Ontario Undergraduate Student Alliance,852.0
"43.6462176,-79.3855048",OCAD University Tabletop,875.0
"43.6462176,-79.3855048",Dorothy H. Hoover Library - OCAD University,877.0
"43.6462176,-79.3855048","Ocad University, Annex Building",882.0
"43.6462176,-79.3855048",Toronto School of Art,893.0
"43.6462176,-79.3855048",Ontario College of Art & Design,909.0
"43.6462176,-79.3855048",Ogden Junior Public School,918.0
"43.6462176,-79.3855048",Physical Computing Lab - OCAD University,931.0
"43.6462176,-79.3855048",Fifth Floor Open Studio,932.0
"43.6462176,-79.3855048",VerveSmith - Independent Educational Consultants,933.0
"43.6462176,-79.3855048",College of Early Childhood Educators,939.0
"43.6462176,-79.3855048",Visionary Tutors,948.0
"43.6462176,-79.3855048",Mastercard Foundation,969.0
"43.6462176,-79.3855048",Herzing College,987.0
"43.6462176,-79.3855048",Rosalie Sharp Pavilion,989.0
"43.6462176,-79.3855048",University of Toronto - Scarborough,193.0
"43.6462176,-79.3855048",Canadian Securities Institute,282.0
"43.6462176,-79.3855048",Connect School of Language,3015.0
"43.6462176,-79.3855048",Stepthen Overbury Seminars Inc,314.0
"43.6462176,-79.3855048",York Univeristy Schulich School of Business,3687.0
"43.69595,-79.328535",Diefenbaker Public School,254.0
"43.6753188,-79.3462789",kappa Kappa Kappa,878.0
"43.6753188,-79.3462789",Ontario College of Acupuncture,418.0
"43.6753188,-79.3462789",Academy of Learning College,465.0
"43.6753188,-79.3462789",Academy of Learning Career and Business College,467.0
"43.6753188,-79.3462789",Carmichael & Co,571.0
"43.6753188,-79.3462789",The Little Rainbow,930.0
"43.6720273,-79.3470557",kappa Kappa Kappa,507.0
"43.6720273,-79.3470557",Carmichael & Co,521.0
"43.6720273,-79.3470557",Ontario College of Acupuncture,786.0
"43.6720273,-79.3470557",Academy of Learning College,836.0
"43.6720273,-79.3470557",Academy of Learning Career and Business College,838.0
"43.637981,-79.424146",Stone Soup Innovation lab,99.0
"43.637981,-79.424146",24-7 Intouch,358.0
"43.637981,-79.424146",Holy Family School,864.0
"43.637981,-79.424146",ScholarshipsCanada,102.0
"43.637981,-79.424146",Allan Bonner Communications Management Inc,400.0
"43.637981,-79.424146",Niagara University,904.0
"43.640885,-79.416379",Urban Reading Rooms - Visiting Toronto,602.0
"43.640885,-79.416379",Stone Soup Innovation lab,707.0
"43.640885,-79.416379",Oca,955.0
"43.640885,-79.416379",24-7 Intouch,1061.0
"43.640885,-79.416379",Allan Bonner Communications Management Inc,324.0
"43.640885,-79.416379",Niagara University,696.0
"43.640885,-79.416379",ScholarshipsCanada,777.0
"43.6552778,-79.36583333333333",George Brown College Continuing Education,295.0
"43.6552778,-79.36583333333333",Harris Institute For the Arts,320.0
"43.6552778,-79.36583333333333",George Brown School of Design,376.0
"43.6552778,-79.36583333333333",George Brown School of Design,378.0
"43.6552778,-79.36583333333333",GBC ESL - American Sign Language Workshop,379.0
"43.6552778,-79.36583333333333",Taie International Institute,429.0
"43.6552778,-79.36583333333333",George Brown College St. James,463.0
"43.6552778,-79.36583333333333",George Brown College St. James Campus,465.0
"43.6552778,-79.36583333333333",College of Sports Media,472.0
"43.6552778,-79.36583333333333",E-library Learning Commons GBC,482.0
"43.6552778,-79.36583333333333",George Brown College Centre for Hospitality and Culinary Arts,494.0
"43.6552778,-79.36583333333333",Landmark Toronto,515.0
"43.6552778,-79.36583333333333",George Brown College - Centre for Preparatory & Liberal Studies,535.0
"43.6552778,-79.36583333333333",George Brown College LIAD 224A,542.0
"43.6552778,-79.36583333333333",Act 1036,554.0
"43.6552778,-79.36583333333333",Good Food Market at GBC - St. James Campus,556.0
"43.6552778,-79.36583333333333",George Brown Building D,561.0
"43.6552778,-79.36583333333333",George Brown College - Transitions to Post-Secondary Education,568.0
"43.6552778,-79.36583333333333",George Brown College Gym,582.0
"43.6552778,-79.36583333333333",George Brown College,598.0
"43.6552778,-79.36583333333333",Ravenclaw Common Room,660.0
"43.6552778,-79.36583333333333",CMU College of Makeup Art & Design,670.0
"43.6552778,-79.36583333333333",Centre for Urban Energy,912.0
"43.6552778,-79.36583333333333",Centre for Urban Energy,936.0
"43.6552778,-79.36583333333333",School of Image Arts,952.0
"43.6552778,-79.36583333333333",Infoscape Research Lab,976.0
"43.6552778,-79.36583333333333",George Vari Engineering and Computing Centre,995.0
"43.6552778,-79.36583333333333",Rye High Eng,999.0
"43.6552778,-79.36583333333333",RTA Productions,1005.0
"43.6552778,-79.36583333333333",Ryerson School of Journalism,1009.0
"43.6552778,-79.36583333333333",HOEM on Jarvis,6485.0
"43.6552778,-79.36583333333333","University of Toronto, Frequently Called Numbers, Innis College, Innis Residence",559.0
"43.6552778,-79.36583333333333",Centennial College,629.0
"43.6552778,-79.36583333333333",Institute Without Boundaries,642.0
"43.6552778,-79.36583333333333",University of Toronto,657.0
"43.6552778,-79.36583333333333",E-roleplay,747.0
"43.6552778,-79.36583333333333",Bolokelen Malinke Percussion,758.0
"43.6552778,-79.36583333333333",Casa del Pali Creative Institute for Outstanding Individuals,783.0
"43.6552778,-79.36583333333333",Canadore College,881.0
"43.6552778,-79.36583333333333",Ryerson Engineering,955.0
"43.6552778,-79.36583333333333",NIC Newton International College,972.0
"43.6552778,-79.36583333333333",Studio For Media Activism and Critical Thought,978.0
"43.6552778,-79.36583333333333",ProCom - Professional Communication - Ryerson University,984.0
"43.6712581,-79.376367",Canada's National Ballet School,844.0
"43.6712581,-79.376367",Trios College,105.0
"43.6712581,-79.376367",Branksome Hall Library,267.0
"43.6712581,-79.376367",Evoke Learning,544.0
"43.6712581,-79.376367",CDI College,632.0
"43.6712581,-79.376367",Tamwood Language School Toronto,693.0
"43.6712581,-79.376367",Centre For Education & Training,697.0
"43.6712581,-79.376367",TutorBright,795.0
"43.6712581,-79.376367",Toronto Hostels Training Centre,828.0
"43.6712581,-79.376367",Royal Canadian Institute of Intternational Studies,854.0
"43.6712581,-79.376367",Canadian Centre For Verbatim Studies,856.0
"43.6712581,-79.376367",Complections International Academy of Make-up Artistry,870.0
"43.6712581,-79.376367",Canadian Business College,876.0
"43.6712581,-79.376367",Toronto Mandarin School,918.0
"43.6712581,-79.376367",North American College,924.0
"43.6712581,-79.376367","University of Toronto, Frequently Called Numbers, Student Family Housing",929.0
"43.6712581,-79.376367",Access International English Language Centre,938.0
"43.6712581,-79.376367",Gestalt Institute of Toronto,942.0
"43.6712581,-79.376367",University of Toronto Student Family Housing,954.0
"43.6712581,-79.376367",205 Richmond,959.0
"43.6712581,-79.376367",George Brown College Daycare,968.0
"43.6712581,-79.376367",Trillium College,971.0
"43.6712581,-79.376367",Intl Institute Travel,973.0
"43.6712581,-79.376367",Mentora College of Business & Technology,981.0
"43.6712581,-79.376367",Brain Sensei Inc,1269.0
"43.6712581,-79.376367",triOS College Business Technology Healthcare,111.0
"43.6712581,-79.376367",Trios Corp,111.0
"43.6712581,-79.376367",Ocufa,2408.0
"43.6712581,-79.376367",The Living Institute,2770.0
"43.6712581,-79.376367",The Accounting Centre,6216.0
"43.6712581,-79.376367",College of Audiologists & Speech-Language Pathologists of Ontario,523.0
"43.6712581,-79.376367",College of Kinesiologists,524.0
"43.6712581,-79.376367",ESL in Canada,800.0
"43.6712581,-79.376367",Travel Training Career Ctr,859.0
"43.6712581,-79.376367",International Academy of Merchandising and Design Ltd,890.0
"43.6712581,-79.376367",Regis College,910.0
"43.6712581,-79.376367",Charles Street Student Family Housing,961.0
"43.6712581,-79.376367",Trebas Institute,973.0
"43.6712581,-79.376367",ADLER Graduate Professional School,980.0
"43.6712581,-79.376367",Adler International Learning,984.0
"43.6712581,-79.376367",Adler Learning Consortium Inc,984.0
"43.664524,-79.36793",Canada's National Ballet School,754.0
"43.664524,-79.36793",Pathways to Education,257.0
"43.664524,-79.36793",Gestalt Institute of Toronto,291.0
"43.664524,-79.36793",Centre For Education & Training,351.0
"43.664524,-79.36793",Taie International Institute,630.0
"43.664524,-79.36793",Intl Institute Travel,739.0
"43.664524,-79.36793",Ryerson University Co-Operative Education,857.0
"43.664524,-79.36793",Modern Literature and Culture Research Centre,859.0
"43.664524,-79.36793",Neill-Wycik College-Hotel,879.0
"43.664524,-79.36793",ILLC Parking Garage,890.0
"43.664524,-79.36793",Faculty of Community Svc,915.0
"43.664524,-79.36793",George Brown,937.0
"43.664524,-79.36793",Sally Horsfall Eaton Centre,938.0
"43.664524,-79.36793",Eric Palin Hall,940.0
"43.664524,-79.36793",Pitman Quad,963.0
"43.664524,-79.36793",Pitman Hall,971.0
"43.664524,-79.36793",RTA Productions,1028.0
"43.664524,-79.36793",Infoscape Research Lab,1200.0
"43.664524,-79.36793",Bolokelen Malinke Percussion,331.0
"43.664524,-79.36793",The Living Institute,3450.0
"43.664524,-79.36793",Centennial College,684.0
"43.664524,-79.36793",Primrose Student Residence Program,770.0
"43.664524,-79.36793","Ryerson University, Frequently Called Numbers, Ryerson International",885.0
"43.664524,-79.36793",Studio For Media Activism and Critical Thought,991.0
"43.664524,-79.36793",ProCom - Professional Communication - Ryerson University,998.0
"43.665867,-79.362506",Pathways to Education,539.0
"43.665867,-79.362506",Centre For Education & Training,585.0
"43.665867,-79.362506",Gestalt Institute of Toronto,752.0
"43.665867,-79.362506",Taie International Institute,785.0
"43.665867,-79.362506",The Living Institute,3871.0
"43.665867,-79.362506",Centennial College,634.0
"43.665867,-79.362506",Bolokelen Malinke Percussion,709.0
"43.648575,-79.380042",Chestnut Residence,750.0
"43.648575,-79.380042",Evergreen College,197.0
"43.648575,-79.380042",Ontario Research and Innovation Optical,244.0
"43.648575,-79.380042",Wilfrid Laurier University - MBA School,326.0
"43.648575,-79.380042",Institute of Corporate Directors,368.0
"43.648575,-79.380042",Smarten Up Institute,485.0
"43.648575,-79.380042",Csi Exam Centre,547.0
"43.648575,-79.380042",Canadian Securities Institute,611.0
"43.648575,-79.380042",CMU College of Makeup Art & Design,699.0
"43.648575,-79.380042",OCAD at 230 Richmond,709.0
"43.648575,-79.380042",Manhattan GMAT,716.0
"43.648575,-79.380042",Rider Training Institute,719.0
"43.648575,-79.380042",OCAD Graduate Studies,722.0
"43.648575,-79.380042",Social Body Lab,729.0
"43.648575,-79.380042",DFI headquarters - OCAD,733.0
"43.648575,-79.380042",TRSM Career Development & Employment Partnership Centre,801.0
"43.648575,-79.380042",George Brown College Gym,801.0
"43.648575,-79.380042",Ted Rogers School of Management,815.0
"43.648575,-79.380042",George Brown College,816.0
"43.648575,-79.380042",Information Technology Management Student Association,821.0
"43.648575,-79.380042",Ryerson University Human Resources,834.0
"43.648575,-79.380042",George Brown College - Transitions to Post-Secondary Education,843.0
"43.648575,-79.380042",George Brown College LIAD 224A,847.0
"43.648575,-79.380042",Good Food Market at GBC - St. James Campus,853.0
"43.648575,-79.380042",Ryerson University,865.0
"43.648575,-79.380042",George Brown College - Centre for Preparatory & Liberal Studies,877.0
"43.648575,-79.380042",Ryerson University,882.0
"43.648575,-79.380042",Ryerson School of Performance,883.0
"43.648575,-79.380042",VerveSmith - Independent Educational Consultants,884.0
"43.648575,-79.380042",George Brown College Centre for Hospitality and Culinary Arts,889.0
"43.648575,-79.380042",Campus Facilities & Sustainability,899.0
"43.648575,-79.380042",George Brown Building D,899.0
"43.648575,-79.380042",George Brown College St. James Campus,900.0
"43.648575,-79.380042",Victoria Building,902.0
"43.648575,-79.380042",George Brown College St. James,906.0
"43.648575,-79.380042",Creative Innovation Studio,908.0
"43.648575,-79.380042",University of Liverpool Online Degress - Information Session,946.0
"43.648575,-79.380042",Dorothy H. Hoover Library - OCAD University,946.0
"43.648575,-79.380042",College of Sports Media,952.0
"43.648575,-79.380042",Ryerson University Central Placement Office,956.0
"43.648575,-79.380042","Ocad University, Annex Building",968.0
"43.648575,-79.380042",Chang School for Continuing Education,968.0
"43.648575,-79.380042",Recording Arts Canada,982.0
"43.648575,-79.380042",Ryerson University Campus Store,991.0
"43.648575,-79.380042",HEI 201 GCM Lecture Hall,991.0
"43.648575,-79.380042",George Brown College Continuing Education,1071.0
"43.648575,-79.380042",The David Asper Centre for Constitutional Righ ts,163.0
"43.648575,-79.380042",Canadian Centre For Verbatim Studies,206.0
"43.648575,-79.380042",Connect School of Language,2820.0
"43.648575,-79.380042",Orano,306.0
"43.643473,-79.390477",Toronto Image Works,502.0
"43.643473,-79.390477","Fit Factory Downtown, Toronto",317.0
"43.643473,-79.390477",CSI Global Education Inc,356.0
"43.643473,-79.390477",Canadian Securities Institute,416.0
"43.643473,-79.390477",Csi Exam Centre,468.0
"43.643473,-79.390477",Biz Launch,472.0
"43.643473,-79.390477",Examstraining,495.0
"43.643473,-79.390477",Smarten Up Institute,540.0
"43.643473,-79.390477",Recording Arts Canada,551.0
"43.643473,-79.390477",Eurocentres Toronto,553.0
"43.643473,-79.390477",RED Academy Toronto,581.0
"43.643473,-79.390477",Toronto School of Art,602.0
"43.643473,-79.390477",Centre For Indigenous Theatre,604.0
"43.643473,-79.390477",University Quad,608.0
"43.643473,-79.390477",Ontario College of Family Physicians,608.0
"43.643473,-79.390477",Rider Training Institute,616.0
"43.643473,-79.390477",Gallery 44 Darkroom,620.0
"43.643473,-79.390477",Academy of Learning Career College Toronto,632.0
"43.643473,-79.390477",OCAD Graduate Studies,634.0
"43.643473,-79.390477",Institute of Corporate Directors,644.0
"43.643473,-79.390477",Better the World,648.0
"43.643473,-79.390477",OCAD University Marketing & Communications Office,651.0
"43.643473,-79.390477",DFI headquarters - OCAD,652.0
"43.643473,-79.390477",OCADU sLab & SFI Collaboration Space,654.0
"43.643473,-79.390477",Social Body Lab,657.0
"43.643473,-79.390477",George Brown College I.E.C.I,661.0
"43.643473,-79.390477",OCAD Richmond Campus,677.0
"43.643473,-79.390477",OCAD U Graduate Gallery,688.0
"43.643473,-79.390477","Dale Carnegie Training, Toronto, Fairmont Royal York Hotel",720.0
"43.643473,-79.390477",Student Life Network,729.0
"43.643473,-79.390477",Canpacific College of Bus,747.0
"43.643473,-79.390477",Meic Hq,760.0
"43.643473,-79.390477",OCAD at 230 Richmond,768.0
"43.643473,-79.390477",Wilfrid Laurier University - MBA School,776.0
"43.643473,-79.390477",OUSA | Ontario Undergraduate Student Alliance,826.0
"43.643473,-79.390477",Westside Montessori School,841.0
"43.643473,-79.390477",Ogden Junior Public School,858.0
"43.643473,-79.390477",Toronto Chinese Academy,867.0
"43.643473,-79.390477",OCAD Health & Wellness Centre,909.0
"43.643473,-79.390477",Vcetests,916.0
"43.643473,-79.390477",Ocad,923.0
"43.643473,-79.390477",Institute of Traditional Medicine,933.0
"43.643473,-79.390477",Northeastern University Toronto,966.0
"43.643473,-79.390477",Schulich School of Business Nadal Management Centre,971.0
"43.643473,-79.390477",OCAD Student Centre,974.0
"43.643473,-79.390477",Connect School of Language,3319.0
"43.643473,-79.390477",York Univeristy Schulich School of Business,3428.0
"43.643473,-79.390477",Global Tesol College,491.0
"43.643473,-79.390477",Canadian Institute of International Business,7534.0
"43.643473,-79.390477",University of Toronto - Scarborough,546.0
"43.645859,-79.38783",Toronto Image Works,631.0
"43.645859,-79.38783",CSI Global Education Inc,32.0
"43.645859,-79.38783",Canadian Securities Institute,83.0
"43.645859,-79.38783",Chestnut Residence,944.0
"43.645859,-79.38783",Csi Exam Centre,156.0
"43.645859,-79.38783",Smarten Up Institute,210.0
"43.645859,-79.38783",University Quad,305.0
"43.645859,-79.38783",Institute of Corporate Directors,337.0
"43.645859,-79.38783",Rider Training Institute,351.0
"43.645859,-79.38783",OCAD Graduate Studies,370.0
"43.645859,-79.38783",OCADU sLab & SFI Collaboration Space,392.0
"43.645859,-79.38783",DFI headquarters - OCAD,392.0
"43.645859,-79.38783",Social Body Lab,394.0
"43.645859,-79.38783",OCAD Richmond Campus,408.0
"43.645859,-79.38783","Fit Factory Downtown, Toronto",414.0
"43.645859,-79.38783",OCAD U Graduate Gallery,422.0
"43.645859,-79.38783",Wilfrid Laurier University - MBA School,436.0
"43.645859,-79.38783",Recording Arts Canada,444.0
"43.645859,-79.38783",Eurocentres Toronto,445.0
"43.645859,-79.38783",OCAD at 230 Richmond,491.0
"43.645859,-79.38783",George Brown College I.E.C.I,493.0
"43.645859,-79.38783","Dale Carnegie Training, Toronto, Fairmont Royal York Hotel",503.0
"43.645859,-79.38783",Ontario College of Family Physicians,525.0
"43.645859,-79.38783",Toronto Chinese Academy,532.0
"43.645859,-79.38783",Academy of Learning Career College Toronto,584.0
"43.645859,-79.38783",Centre For Indigenous Theatre,606.0
"43.645859,-79.38783",Gallery 44 Darkroom,619.0
"43.645859,-79.38783",Northeastern University Toronto,636.0
"43.645859,-79.38783",Student Life Network,679.0
"43.645859,-79.38783",Vcetests,692.0
"43.645859,-79.38783",LSUC Library,695.0
"43.645859,-79.38783",Toronto School of Art,709.0
"43.645859,-79.38783",OUSA | Ontario Undergraduate Student Alliance,728.0
"43.645859,-79.38783",OCAD Student Centre,744.0
"43.645859,-79.38783",Ontario Research and Innovation Optical,759.0
"43.645859,-79.38783",Ogden Junior Public School,786.0
"43.645859,-79.38783",RED Academy Toronto,818.0
"43.645859,-79.38783",OCAD University Tabletop,831.0
"43.645859,-79.38783",Examstraining,834.0
"43.645859,-79.38783",Destech Consulting Svc,857.0
"43.645859,-79.38783","Ocad University, Annex Building",862.0
"43.645859,-79.38783",Dorothy H. Hoover Library - OCAD University,865.0
"43.645859,-79.38783",Ontario College of Art & Design,865.0
"43.645859,-79.38783",King's Golf Academy,874.0
"43.645859,-79.38783",Physical Computing Lab - OCAD University,877.0
"43.645859,-79.38783",Evergreen College,885.0
"43.645859,-79.38783",Fifth Floor Open Studio,899.0
"43.645859,-79.38783",Rosalie Sharp Pavilion,951.0
"43.645859,-79.38783",College of Early Childhood Educators,954.0
"43.645859,-79.38783",Visionary Tutors,957.0
"43.662132,-79.3656796",Canada's National Ballet School,944.0
"43.662132,-79.3656796",Pathways to Education,112.0
"43.662132,-79.3656796",Taie International Institute,333.0
"43.662132,-79.3656796",Gestalt Institute of Toronto,482.0
"43.662132,-79.3656796",Centre For Education & Training,667.0
"43.662132,-79.3656796",ILLC Parking Garage,876.0
"43.662132,-79.3656796",Intl Institute Travel,886.0
"43.662132,-79.3656796",Modern Literature and Culture Research Centre,910.0
"43.662132,-79.3656796",Ryerson University Co-Operative Education,916.0
"43.662132,-79.3656796",Faculty of Community Svc,958.0
"43.662132,-79.3656796",Neill-Wycik College-Hotel,960.0
"43.662132,-79.3656796",Harris Institute For the Arts,973.0
"43.662132,-79.3656796",Pitman Quad,988.0
"43.662132,-79.3656796",Sally Horsfall Eaton Centre,993.0
"43.662132,-79.3656796",George Brown,993.0
"43.662132,-79.3656796",Eric Palin Hall,995.0
"43.662132,-79.3656796",Pitman Hall,997.0
"43.662132,-79.3656796",RTA Productions,1040.0
"43.662132,-79.3656796",Bolokelen Malinke Percussion,283.0
"43.662132,-79.3656796",The Living Institute,3669.0
"43.662132,-79.3656796",Centennial College,373.0
"43.662132,-79.3656796",HOEM on Jarvis,5926.0
"43.662132,-79.3656796",The Audio Recording Academy,847.0
"43.662132,-79.3656796",E-roleplay,869.0
"43.662132,-79.3656796","Ryerson University, Frequently Called Numbers, Ryerson International",875.0
"43.662132,-79.3656796",Primrose Student Residence Program,905.0
"43.640722,-79.391051",Toronto Image Works,692.0
"43.640722,-79.391051",Examstraining,250.0
"43.640722,-79.391051","Fit Factory Downtown, Toronto",572.0
"43.640722,-79.391051",CSI Global Education Inc,635.0
"43.640722,-79.391051",RED Academy Toronto,643.0
"43.640722,-79.391051",Canadian Securities Institute,693.0
"43.640722,-79.391051",Better the World,695.0
"43.640722,-79.391051",Health & Wellness,717.0
"43.640722,-79.391051",Csi Exam Centre,725.0
"43.640722,-79.391051",Biz Launch,780.0
"43.640722,-79.391051",Toronto School of Art,790.0
"43.640722,-79.391051",Smarten Up Institute,806.0
"43.640722,-79.391051",Recording Arts Canada,843.0
"43.640722,-79.391051",University Quad,844.0
"43.640722,-79.391051",Eurocentres Toronto,846.0
"43.640722,-79.391051",Centre For Indigenous Theatre,854.0
"43.640722,-79.391051",Gallery 44 Darkroom,869.0
"43.640722,-79.391051","Dale Carnegie Training, Toronto, Fairmont Royal York Hotel",880.0
"43.640722,-79.391051",Institute of Corporate Directors,881.0
"43.640722,-79.391051",Ontario College of Family Physicians,890.0
"43.640722,-79.391051",Academy of Learning Career College Toronto,901.0
"43.640722,-79.391051",Rider Training Institute,925.0
"43.640722,-79.391051",Canpacific College of Bus,931.0
"43.640722,-79.391051",OCAD Graduate Studies,943.0
"43.640722,-79.391051",OCAD University Marketing & Communications Office,959.0
"43.640722,-79.391051",DFI headquarters - OCAD,961.0
"43.640722,-79.391051",George Brown College I.E.C.I,962.0
"43.640722,-79.391051",OCADU sLab & SFI Collaboration Space,963.0
"43.640722,-79.391051",Social Body Lab,966.0
"43.640722,-79.391051",OCAD Richmond Campus,986.0
"43.640722,-79.391051",Student Life Network,992.0
"43.640722,-79.391051",Westside Montessori School,992.0
"43.640722,-79.391051",OCAD U Graduate Gallery,997.0
"43.640722,-79.391051",St Stephens Waterfront Childcare,2388.0
"43.640722,-79.391051",International Academy-Design,508.0
"43.640722,-79.391051",Canadian Institute of International Business,7550.0
"43.640722,-79.391051",Global Tesol College,707.0
"43.640722,-79.391051",University of Toronto - Scarborough,733.0
"43.640722,-79.391051",George Brown Collegeapplied,772.0
"43.640722,-79.391051",Directcash Atm Processing,781.0
"43.640722,-79.391051",Medeon Corp,782.0
"43.640722,-79.391051",Canadian College of Osteopathy,920.0
"43.640722,-79.391051",Stepthen Overbury Seminars Inc,955.0
"43.640722,-79.391051",Toronto School-Music Canada,974.0
"43.640722,-79.391051",Ontario College of Arts & Design,983.0
"43.66207,-79.37617",Canada's National Ballet School,198.0
"43.66207,-79.37617",Ryerson Recreation and Athletics Centre,475.0
"43.66207,-79.37617",Intl Institute Travel,64.0
"43.66207,-79.37617",Neill-Wycik College-Hotel,190.0
"43.66207,-79.37617",Ryerson University Co-Operative Education,211.0
"43.66207,-79.37617",Modern Literature and Culture Research Centre,229.0
"43.66207,-79.37617",Eric Palin Hall,278.0
"43.66207,-79.37617",Faculty of Community Svc,279.0
"43.66207,-79.37617",Kerr Hall North,391.0
"43.66207,-79.37617",Ryerson Hub Cafeteria,416.0
"43.66207,-79.37617",RTA Productions,420.0
"43.66207,-79.37617",Gestalt Institute of Toronto,424.0
"43.66207,-79.37617",The Maples Complex,429.0
"43.66207,-79.37617",Rogers Communucation Centre,436.0
"43.66207,-79.37617",Ryerson University Quad,449.0
"43.66207,-79.37617",Rye High Eng,458.0
"43.66207,-79.37617",Toronto Metropolitan University Park,458.0
"43.66207,-79.37617",Ryerson University Chinese Students' Association,474.0
"43.66207,-79.37617",Kerr Hall West Gym,487.0
